[02.05.2025 23:24:17] 192.168.0.15:63669 -> 213.180.193.234:443, Seq=2555686825, Флаги=16
[02.05.2025 23:24:17] 213.180.193.234:443 -> 192.168.0.15:63669, Seq=3831294122, Флаги=16
[02.05.2025 23:24:17] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812152463, Флаги=16
[02.05.2025 23:24:17] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812153873, Флаги=16
[02.05.2025 23:24:17] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812155283, Флаги=24
[02.05.2025 23:24:17] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812155339, Флаги=24
[02.05.2025 23:24:17] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812155378, Флаги=24
[02.05.2025 23:24:17] 192.168.0.15:64443 -> 93.158.134.242:443, Seq=2886317012, Флаги=17
[02.05.2025 23:24:17] 192.168.0.15:64421 -> 87.250.251.92:443, Seq=1700537363, Флаги=17
[02.05.2025 23:24:17] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972742, Флаги=2
[02.05.2025 23:24:17] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775081, Флаги=16
[02.05.2025 23:24:17] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775081, Флаги=16
[02.05.2025 23:24:17] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775081, Флаги=16
[02.05.2025 23:24:17] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775081, Флаги=16
[02.05.2025 23:24:17] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775081, Флаги=16
[02.05.2025 23:24:17] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775081, Флаги=24
[02.05.2025 23:24:17] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812155410, Флаги=24
[02.05.2025 23:24:17] 77.88.55.88:443 -> 192.168.0.15:63674, Seq=1657775150, Флаги=24
[02.05.2025 23:24:17] 192.168.0.15:63674 -> 77.88.55.88:443, Seq=2812155449, Флаги=24
[02.05.2025 23:24:18] 93.158.134.242:443 -> 192.168.0.15:64443, Seq=2313390756, Флаги=24
[02.05.2025 23:24:18] 93.158.134.242:443 -> 192.168.0.15:64443, Seq=2313390787, Флаги=17
[02.05.2025 23:24:18] 192.168.0.15:64443 -> 93.158.134.242:443, Seq=2886317013, Флаги=20
